2018-03-26 20:30:19.6080|0|IdentityServer4.Startup|DEBUG|  Using Identity.Application as default scheme for authentication |url: |action: 
2018-03-26 20:30:20.3482|0|IdentityServer4.Startup|DEBUG|  Using Identity.External as default scheme for sign-in |url: |action: 
2018-03-26 20:30:20.8908|0|IdentityServer4.Startup|DEBUG|  Using Identity.External as default scheme for sign-out |url: |action: 
2018-03-26 20:30:21.0893|0|IdentityServer4.Startup|DEBUG|  Using Identity.Application as default scheme for challenge |url: |action: 
2018-03-26 20:30:21.3431|0|IdentityServer4.Startup|DEBUG|  Using Identity.Application as default scheme for forbid |url: |action: 
2018-03-26 20:30:23.3621|0|IdentityServer4.EntityFramework.TokenCleanup|DEBUG|  Starting token cleanup |url: |action: 
2018-03-26 20:30:55.4207|0|KiraNet.Camellia.AuthorizationServer.Controllers.AccountController|INFO|  User logged out. |url: http://localhost/Account/Logout|action: Logout
2018-03-26 20:30:57.6033|0|IdentityServer4.Hosting.EndpointRouter|DEBUG|  Request path /connect/endsession/callback matched to endpoint type Endsession |url: http://localhost/connect/endsession/callback|action: 
2018-03-26 20:30:57.7957|0|IdentityServer4.Hosting.EndpointRouter|DEBUG|  Endpoint enabled: Endsession, successfully created handler: IdentityServer4.Endpoints.EndSessionCallbackEndpoint |url: http://localhost/connect/endsession/callback|action: 
2018-03-26 20:30:57.8846|0|IdentityServer4.Hosting.IdentityServerMiddleware|INFO|  Invoking IdentityServer endpoint: IdentityServer4.Endpoints.EndSessionCallbackEndpoint for /connect/endsession/callback |url: http://localhost/connect/endsession/callback|action: 
2018-03-26 20:30:57.9696|0|IdentityServer4.Endpoints.EndSessionCallbackEndpoint|DEBUG|  Processing signout callback request |url: http://localhost/connect/endsession/callback|action: 
2018-03-26 20:30:58.2239|0|IdentityServer4.Validation.EndSessionRequestValidator|DEBUG|  No client front-channel logout URLs |url: http://localhost/connect/endsession/callback|action: 
2018-03-26 20:30:58.2822|0|IdentityServer4.Validation.EndSessionRequestValidator|DEBUG|  No client back-channel logout URLs |url: http://localhost/connect/endsession/callback|action: 
2018-03-26 20:30:58.3140|0|IdentityServer4.Endpoints.EndSessionCallbackEndpoint|INFO|  Successful signout callback. |url: http://localhost/connect/endsession/callback|action: 
2018-03-26 20:30:58.3492|0|IdentityServer4.Endpoints.EndSessionCallbackEndpoint|DEBUG|  No client front-channel iframe urls |url: http://localhost/connect/endsession/callback|action: 
2018-03-26 20:30:58.3738|0|IdentityServer4.Endpoints.EndSessionCallbackEndpoint|DEBUG|  No client back-channel iframe urls |url: http://localhost/connect/endsession/callback|action: 
2018-03-26 20:44:57.4864|0|IdentityServer4.Startup|DEBUG|  Using Identity.Application as default scheme for authentication |url: |action: 
2018-03-26 20:44:57.8421|0|IdentityServer4.Startup|DEBUG|  Using Identity.External as default scheme for sign-in |url: |action: 
2018-03-26 20:44:58.1406|0|IdentityServer4.Startup|DEBUG|  Using Identity.External as default scheme for sign-out |url: |action: 
2018-03-26 20:44:58.1652|0|IdentityServer4.Startup|DEBUG|  Using Identity.Application as default scheme for challenge |url: |action: 
2018-03-26 20:44:58.1848|0|IdentityServer4.Startup|DEBUG|  Using Identity.Application as default scheme for forbid |url: |action: 
2018-03-26 20:44:58.5949|0|IdentityServer4.EntityFramework.TokenCleanup|DEBUG|  Starting token cleanup |url: |action: 
2018-03-26 20:53:49.0553|0|IdentityServer4.Startup|DEBUG|  Using Identity.Application as default scheme for authentication |url: |action: 
2018-03-26 20:53:49.4284|0|IdentityServer4.Startup|DEBUG|  Using Identity.External as default scheme for sign-in |url: |action: 
2018-03-26 20:53:49.4703|0|IdentityServer4.Startup|DEBUG|  Using Identity.External as default scheme for sign-out |url: |action: 
2018-03-26 20:53:49.5435|0|IdentityServer4.Startup|DEBUG|  Using Identity.Application as default scheme for challenge |url: |action: 
2018-03-26 20:53:49.5899|0|IdentityServer4.Startup|DEBUG|  Using Identity.Application as default scheme for forbid |url: |action: 
2018-03-26 20:53:50.3691|0|IdentityServer4.EntityFramework.TokenCleanup|DEBUG|  Starting token cleanup |url: |action: 
2018-03-26 21:05:22.6434|0|IdentityServer4.Startup|DEBUG|  Using Identity.Application as default scheme for authentication |url: |action: 
2018-03-26 21:05:22.8436|0|IdentityServer4.Startup|DEBUG|  Using Identity.External as default scheme for sign-in |url: |action: 
2018-03-26 21:05:22.8898|0|IdentityServer4.Startup|DEBUG|  Using Identity.External as default scheme for sign-out |url: |action: 
2018-03-26 21:05:22.9195|0|IdentityServer4.Startup|DEBUG|  Using Identity.Application as default scheme for challenge |url: |action: 
2018-03-26 21:05:22.9407|0|IdentityServer4.Startup|DEBUG|  Using Identity.Application as default scheme for forbid |url: |action: 
2018-03-26 21:05:23.4368|0|IdentityServer4.EntityFramework.TokenCleanup|DEBUG|  Starting token cleanup |url: |action: 
2018-03-26 21:08:42.1556|0|IdentityServer4.Startup|DEBUG|  Using Identity.Application as default scheme for authentication |url: |action: 
2018-03-26 21:08:42.3030|0|IdentityServer4.Startup|DEBUG|  Using Identity.External as default scheme for sign-in |url: |action: 
2018-03-26 21:08:42.3164|0|IdentityServer4.Startup|DEBUG|  Using Identity.External as default scheme for sign-out |url: |action: 
2018-03-26 21:08:42.3372|0|IdentityServer4.Startup|DEBUG|  Using Identity.Application as default scheme for challenge |url: |action: 
